Step,Action,Resource/URL,Operation,Database Table,Status/Decision,Score/Reason,Notes
1,Add to Monitoring,https://en.wikipedia.org/wiki/Zionism,Add Wikipedia page to monitoring queue,wikipediaMonitoring,status: pending,,"Page added to monitoring table with status 'pending'. Stores: wikipediaTitle='Zionism', wikipediaUrl, patchId"
2,Get Next Page,https://en.wikipedia.org/wiki/Zionism,Select next Wikipedia page to process,wikipediaMonitoring,status: processing,,"Query selects page with status 'pending', updates to 'processing'"
3,Fetch HTML,https://en.wikipedia.org/wiki/Zionism,Fetch full HTML from Wikipedia API,None,HTTP 200,,"Fetches HTML from Wikipedia REST API: /page/html/Zionism. Gets full page HTML for citation extraction"
4,Extract Citations,https://en.wikipedia.org/wiki/Zionism,Extract all citations from HTML using extractWikipediaCitationsWithContext,None,Found ~200+ citations,,"Extracts from: References section (<ol class='references'>), Further reading, External links. Separates external URLs from Wikipedia internal links (./, /wiki/, wikipedia.org)"
5,Prioritize External Citations,External URLs only,Score external URLs using DeepSeek AI,wikipediaCitation,aiPriorityScore: 0-100,,"Only external URLs get scored via prioritizeCitations(). Wikipedia internal links get default score 50. Example: 'https://d-nb.info/gnd/4067864-7' (GND) would get low score"
6,Store External Citations,External URLs,Store external citations in database,wikipediaCitation,verificationStatus: pending,aiPriorityScore: 0-100,"Example citations stored: GND, BnF, NARA, İslâm Ansiklopedisi, etc. verificationStatus='pending' for external URLs"
7,Store Wikipedia Internal Links,Wikipedia internal URLs,Store Wikipedia links separately,wikipediaCitation,verificationStatus: pending_wiki,aiPriorityScore: 50,"Example: './Portal:Politics', './Portal:Palestine', './Portal:Judaism'. verificationStatus='pending_wiki' to defer processing"
8,Mark Citations Extracted,https://en.wikipedia.org/wiki/Zionism,Update monitoring record,wikipediaMonitoring,citationsExtracted: true,citationCount: ~200+,"Sets citationsExtracted=true, stores citationCount. Page ready for citation processing"
9,Get Next Citation (External First),First external URL (e.g. GND),Select next citation to process,wikipediaCitation,scanStatus: not_scanned,,"Query: verificationStatus IN ['pending','verified'], scanStatus='not_scanned', excludes Wikipedia URLs. Prioritizes by aiPriorityScore DESC"
10,Check Rate Limit,External URL domain (e.g. d-nb.info),Check if domain is rate-limited,None,canProcess: true/false,,"Prevents processing too many URLs from same domain. Rate limit per domain"
11,Check Wikipedia Link,External URL,Check if URL is Wikipedia internal link,wikipediaCitation,isWikipediaUrl: false,,"If Wikipedia URL (contains 'wikipedia.org/wiki/'), goes to step 12. Otherwise continues to step 13"
12,Process Wikipedia Internal Link,Wikipedia internal URL (e.g. ./Portal:Politics),Fetch page, check relevance, add to monitoring if relevant,wikipediaMonitoring,Added if score >= 40,score >= 40,"Uses checkWikipediaPageRelevance (threshold 40). Fetches page HTML, extracts text, scores relevance. If relevant, adds to monitoring. Marks citation as 'denied' with reason 'added to monitoring'"
13,Check Low Quality,External URL (e.g. GND),Check if URL is library catalog/metadata page,wikipediaCitation,isLowQuality: true,,"If low quality (VIAF, GND, WorldCat, BnF, NARA, etc.), marks as denied immediately. Example: 'https://d-nb.info/gnd/4067864-7' would be denied"
14,Check Duplicate,External URL,Check if URL already in DiscoveredContent,DiscoveredContent,exists: false,,"If duplicate (canonicalUrl matches), marks citation as 'saved' and skips processing"
15,Mark Verifying,External URL,Update citation status,wikipediaCitation,verificationStatus: verifying,,"Updates status to 'verifying' before attempting HTTP request"
16,Verify URL (HEAD),External URL,Attempt HEAD request to verify URL exists,None,HTTP status (200/404/etc),,"Tries HEAD first (lightweight). Falls back to GET if HEAD fails or domain requires GET (gov.il, nba.com, espn.com, wikipedia.org)"
17,Verify URL (GET),External URL,Fallback to GET if HEAD failed,None,HTTP status,,"GET request with 30s timeout. Stores HTML for extraction if successful"
18,Mark Scanning,External URL,Update citation status,wikipediaCitation,scanStatus: scanning,,"Updates status to 'scanning' before content extraction"
19,Extract Content (Readability),External URL,Extract text content using Readability,None,extractionMethod: readability,,"Tries Readability first (best for news/blogs). Needs >= 600 chars to use this method"
